phrase_cd,title,audio_url,A_sec,B_sec,C_sec,note
P1-001-050,상사별곡050,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-050.wav,16.7,18.69,7.23,A 유지 16.77→16.70s(구조적 에너지 피크 재탐색); B 변경 16.58→18.69s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.23s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=32.61s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-001-051,상사별곡051,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-051.wav,16.64,19.58,16.58,A 유지 16.77→16.64s(구조적 에너지 피크 재탐색); B 변경 16.58→19.58s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→16.58s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=32.61s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.92
P1-001-052,상사별곡052,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-052.wav,17.86,26.24,7.62,A 유지 17.92→17.86s(구조적 에너지 피크 재탐색); B 변경 17.73→26.24s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.62s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=35.18s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-001-053,상사별곡053,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-053.wav,17.79,21.95,17.73,A 유지 17.92→17.79s(구조적 에너지 피크 재탐색); B 변경 17.73→21.95s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→17.73s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=35.18s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.91
P1-001-054,상사별곡054,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-054.wav,16.13,19.52,5.95,A 유지 16.13→16.13s(구조적 에너지 피크 재탐색); B 변경 15.94→19.52s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→5.95s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=30.29s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.96
P1-001-055,상사별곡055,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-055.wav,16.0,26.56,16.06,A 유지 16.13→16.00s(구조적 에너지 피크 재탐색); B 변경 15.94→26.56s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→16.06s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=30.29s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.93
P1-001-056,상사별곡056,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-056.wav,13.95,20.86,6.59,A 유지 14.02→13.95s(구조적 에너지 피크 재탐색); B 변경 13.82→20.86s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.59s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.20s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.91
P1-001-057,상사별곡057,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-057.wav,13.89,17.41,13.89,A 유지 14.02→13.89s(구조적 에너지 피크 재탐색); B 변경 13.82→17.41s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→13.89s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.20s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.92
P1-001-058,상사별곡058,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-058.wav,15.17,23.36,5.82,A 변경 31.49→15.17s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 15.17→23.36s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→5.82s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=32.87s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.94
P1-001-059,상사별곡059,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-059.wav,15.17,18.5,15.17,A 변경 31.49→15.17s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 15.17→18.50s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→15.17s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=32.87s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.95
P1-002-092,처사가092,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-092.wav,13.44,21.5,7.68,A 유지 13.44→13.44s(구조적 에너지 피크 재탐색); B 변경 7.68→21.50s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.68s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=27.18s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-002-093,처사가093,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-093.wav,13.38,21.5,7.68,A 유지 13.44→13.38s(구조적 에너지 피크 재탐색); B 변경 21.06→21.50s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.68s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=27.18s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-002-094,처사가094,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-094.wav,13.5,22.4,5.25,A 유지 13.57→13.50s(구조적 에너지 피크 재탐색); B 변경 22.02→22.40s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→5.25s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=27.18s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.82
