area,phrs_nm_kor,singer,genre_cd,phrs_desc_kor,instr_cd,rhythm,phrs_nm_eng,traditional_key,western_key,phrs_desc_eng,beat,wav_file_path,phrase_cd,lyrics,player
조선,상사별곡050,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-050.wav,P1-001-050,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡051,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-051.wav,P1-001-051,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡052,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-052.wav,P1-001-052,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡053,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-053.wav,P1-001-053,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡054,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-054.wav,P1-001-054,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡055,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-055.wav,P1-001-055,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡056,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-056.wav,P1-001-056,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡057,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-057.wav,P1-001-057,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡058,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-058.wav,P1-001-058,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
조선,상사별곡059,홍창남,GENR0030,상사별곡 장구,PHINST0022,5박,sangsabyeolgok_5bit,계면조,NULL,sangsabyeolgok  by jang-gu,5/4,https://apis.gugak.go.kr/phrase/001sangsabyeolgok/P1-001-059.wav,P1-001-059,"인간 이별만사 중에 독숙공방 더욱 섧다상사불견(相思不見) 이내 진정 제 뉘라서 알리 맺힌 시름이렁저렁이라 흐트러진 근심 다 후루쳐 던져 두고자나깨나 깨나자나 임을 못 보니 가삼이 답답어린 양자(樣姿) 고운 소래 눈에 암암하고 귀에 쟁쟁보고지고 보고지고 임의 얼굴, 듣고지고 임의 소래비나이다 하느님께 임 생기라고 비나이다전생차생(前生此生)이라 무삼죄로 우리 둘이 삼겨나서잊지마자 하고 백년기약만첩청산을 들어를 간들 어느 우리 낭군이 날 찾으리산은 첩첩하고 고개되고 물은 충충 흘러 소(沼)이로소이다오동추야 밝은 달에 임 생각이 새로워라한번 이별하고 돌아가면 다시 오기 어려워라.
[출처: 한국민족문화대백과사전(상사별곡(相思別曲))]",NULL
